;Equipe;Points
0;RealMadrid;20082
1;BayernMünchen;14813
2;AtléticoMadrid;14705
3;Barcelona;14422
4;Benfica;11177
5;Juventus;11143
6;Chelsea;11039
7;PSG;10589
8;Sevilla;10462
9;Arsenal;10130
10;Porto;9907
11;ManchesterCity;9448
12;BorussiaDortmund;9373
13;AlHilal;8876
14;Cruzeiro;8836
15;Valencia;8513
16;JeonbukMotors;8340
17;Seoul;8207
18;Zamalek;8087
19;Napoli;7960
20;Wolfsburg;7951
21;AlShabab;7717
22;TottenhamHotspur;7686
23;PohangSteelers;7582
24;Roma;7571
25;Toluca;7474
26;Villarreal;7311
27;Schalke04;7283
28;AthleticClub;7232
29;BayerLeverkusen;7136
30;AtléticoMineiro;7125
31;Fiorentina;6977
32;León;6932
33;AlAhli;6903
34;Grêmio;6846
35;Liverpool;6819
36;ManchesterUnited;6796
37;Everton;6791
38;AlNassr;6658
39;CruzAzul;6612
40;AlIttihad;6583
41;DynamoKyiv;6567
42;OlympiqueLyonnais;6555
43;SãoPaulo;6476
44;RiverPlate;6299
45;Zenit;6291
46;Lanús;6272
47;BorussiaM'gladbach;6191
48;ShakhtarDonetsk;6156
49;RealSociedad;6142
50;SportingCP;6055
51;Corinthians;6050
52;Basel;6031
53;Salzburg;5832
54;AlAhly;5773
55;CSKAMoskva;5738
56;Flamengo;5718
57;SanLorenzo;5710
58;SuwonBluewings;5695
59;Pachuca;5530
60;Málaga;5500
61;OlympiakosPiraeus;5354
62;DinamoMoskva;5350
63;Tijuana;5350
64;Augsburg;5348
65;Ulsan;5325
66;Saint-Étienne;5325
67;CeltadeVigo;5300
68;DniproDnipropetrovsk;5263
69;América;5140
70;PSV;5122
71;Hoffenheim;5051
72;Ajax;5015
73;Feyenoord;5007
74;Estoril;5000
75;Petrojet;4988
76;Internazionale;4936
77;SantosLaguna;4926
78;Lazio;4906
79;Ismaily;4902
80;Levante;4900
81;Southampton;4855
82;RayoVallecano;4850
83;Mainz05;4844
84;Guingamp;4786
85;Torino;4729
86;TigresUANL;4680
87;Hannover96;4663
88;Krasnodar;4660
89;ElShorta;4644
90;EintrachtFrankfurt;4636
91;AtléticoNacional;4634
92;SportRecife;4600
93;Internacional;4600
94;JejuUnited;4590
95;AZ;4584
96;Estudiantes;4561
97;ClubBrugge;4558
98;VélezSarsfield;4556
99;Beşiktaş;4540
100;Fluminense;4500
101;RioAve;4498
102;BocaJuniors;4491
103;Milan;4486
104;WestHamUnited;4464
105;Espanyol;4450
106;OlympiqueMarseille;4442
107;SwanseaCity;4431
108;Arsenal;4420
109;Atlas;4410
110;Sunderland;4369
111;Rennes;4359
112;SpartaPraha;4352
113;LegiaWarszawa;4346
114;JeonnamDragons;4335
115;SportingBraga;4304
116;FCSB;4301
117;Lille;4293
118;Udinese;4244
119;Monterrey;4230
120;Chiapas;4230
121;PumasUNAM;4230
122;ViktoriaPlzeň;4222
123;Anderlecht;4222
124;Santos;4200
125;CrystalPalace;4188
126;StokeCity;4128
127;WadiDegla;4128
128;PAOK;4127
129;Ludogorets;4119
130;GuangzhouEvergrande;4099
131;Lokeren;4066
132;Coritiba;4050
133;AlFaisaly;4024
134;Seongnam;4006
135;KawasakiFrontale;3997
136;SanfrecceHiroshima;3896
137;APOEL;3892
138;Galatasaray;3877
139;MisrLelMakasa;3870
140;Almería;3850
141;NacionalAsunción;3808
142;AlMokawloon;3784
143;ElGeish;3784
144;Panathinaikos;3732
145;NewcastleUnited;3725
146;Figueirense;3700
147;Newell'sOldBoys;3670
148;RosarioCentral;3661
149;BusanI'Park;3655
150;YoungBoys;3645
151;Nantes;3634
152;Freiburg;3619
153;AlIttihad;3612
154;WerderBremen;3605
155;Sampdoria;3600
156;Getafe;3600
157;AtléticoPR;3596
158;Apollon;3575
159;HullCity;3558
160;Genoa;3534
161;Zürich;3534
162;AlMasry;3526
163;AaB;3503
164;Marítimo;3457
165;WesternSydneyWanderers;3429
166;AtléticoRafaela;3420
167;PECZwolle;3410
168;AsterasTripolis;3401
169;IncheonUnited;3400
170;Granada;3400
171;YokohamaF.Marinos;3398
172;LokomotivMoskva;3382
173;AstonVilla;3363
174;Atalanta;3362
175;ESSétif;3360
176;ElGounah;3354
177;Celtic;3348
178;Trabzonspor;3321
179;Elche;3300
180;Chapecoense;3300
181;Goiás;3300
182;Vitória;3290
183;ElDaklyeh;3268
184;Twente;3255
185;Parma;3254
186;RealBetis;3245
187;CerroPorteño;3244
188;Querétaro;3240
189;GimnasiaLaPlata;3211
190;Bordeaux;3210
191;Palmeiras;3200
192;Alajuelense;3185
193;Bahia;3162
194;AlFateh;3160
195;SangjuSangmu;3145
196;Belenenses;3144
197;Botafogo;3136
198;Montpellier;3134
199;RacingClub;3120
200;StandardLiège;3111
201;AkhmatGrozny;3096
202;Partizan;3089
203;GambaOsaka;3085
204;Gyeongnam;3060
205;WestBromwichAlbion;3057
206;BeijingGuoan;3045
207;Groningen;3016
208;VitóriaGuimarães;3016
209;GodoyCruz;3000
210;RubinKazan';2997
211;HerthaBSC;2992
212;HellasVerona;2989
213;Zorya;2986
214;Morelia;2968
215;AlTaawon;2962
216;DefensorSporting;2953
217;Herediano;2950
218;SantaFe;2945
219;Nacional;2927
220;Molde;2925
221;Astra;2923
222;Stuttgart;2898
223;AlAin;2888
224;Académica;2883
225;Reims;2856
226;PaçosdeFerreira;2843
227;HamburgerSV;2832
228;Sassuolo;2828
229;Tigre;2820
230;Toulouse;2820
231;SlovanBratislava;2812
232;Metalist;2795
233;Cambuur;2779
234;KaizerChiefs;2775
235;Fenerbahçe;2770
236;VitóriaSetúbal;2739
237;Kuban'Krasnodar;2736
238;DCUnited;2697
239;Atromitos;2688
240;AEL;2678
241;Heerenveen;2655
242;AlOrubah;2645
243;Chievo;2629
244;MalmöFF;2598
245;Gent;2593
246;SportingKC;2586
247;Belgrano;2580
248;Olimpo;2580
249;EvianTG;2578
250;Bastia;2573
251;MaccabiTelAviv;2560
252;AlRaed;2546
253;Rostov;2541
254;AlShoalah;2538
255;Najran;2538
256;CerezoOsaka;2534
257;Veracruz;2520
258;Bolívar;2512
259;SpartakMoskva;2503
260;Ermis;2500
261;SportingCharleroi;2495
262;Lorient;2488
263;København;2487
264;Arouca;2470
265;Nice;2445
266;LAGalaxy;2432
267;Guadalajara;2430
268;Foolad;2422
269;UrawaReds;2418
270;Zulte-Waregem;2417
271;Osasuna;2400
272;KVOostende;2383
273;Kortrijk;2370
274;Vorskla;2367
275;Elfsborg;2359
276;Chornomorets;2358
277;SaganTosu;2340
278;KashimaAntlers;2340
279;Vitesse;2303
280;DeportivoSaprissa;2298
281;DeportivoCali;2298
282;PetrolulPloieşti;2295
283;MetalurhDonetsk;2291
284;MontrealImpact;2288
285;MontrealImpact;2288
286;Gençlerbirliği;2276
287;Ural;2260
288;Trenčín;2252
289;ADODenHaag;2246
290;KashiwaReysol;2223
291;Cagliari;2207
292;VitaClub;2199
293;Nacional;2197
294;CrvenaZvezda;2187
295;Odd;2175
296;Quilmes;2160
297;Puebla;2160
298;IroniKiryatShmona;2143
299;NewYorkRB;2132
300;Bursaspor;2120
301;SeattleSounders;2104
302;RealValladolid;2100
303;Criciúma;2100
304;CSKASofia;2100
305;Genk;2099
306;Utrecht;2091
307;NagoyaGrampus;2081
308;Rosenborg;2074
309;MladáBoleslav;2053
310;BotevPlovdiv;2052
311;RapidWien;2046
312;Jablonec;2044
313;Grasshopper;2041
314;CFRCluj;2040
315;PortlandTimbers;2028
316;PortlandTimbers;2028
317;TPMazembe;2013
318;Karabükspor;2012
319;Eibar;2000
320;Esbjerg;1989
321;LokomotivSofia;1986
322;SpartakTrnava;1968
323;AkhisarBelediyespor;1966
324;ShandongLuneng;1956
325;MamelodiSundowns;1953
326;St.Johnstone;1950
327;IFKGöteborg;1949
328;Sochaux;1943
329;Veria;1927
330;Tokyo;1924
331;OFI;1921
332;Independiente;1920
333;Volyn;1917
334;TelephonaatBeniSuef;1892
335;Colón;1890
336;CSSfaxien;1883
337;Thun;1864
338;RiverPlate;1862
339;EthnikosAchna;1854
340;Čukarički;1853
341;Peñarol;1837
342;DundeeUnited;1836
343;Vojvodina;1827
344;GilVicente;1818
345;Mechelen;1817
346;Rizespor;1800
347;SlovanLiberec;1800
348;Brøndby;1798
349;Panaitolikos;1797
350;Hajer;1797
351;Fulham;1791
352;Jagodina;1789
353;BeijingRenhe;1787
354;Midtjylland;1787
355;HapoelBe'erSheva;1784
356;Racing;1775
357;TheStrongest;1774
358;Köln;1772
359;Paderborn;1771
360;PASGiannina;1760
361;LechPoznań;1758
362;OmoniaNicosia;1757
363;Beroe;1757
364;VisselKobe;1755
365;Kasımpaşa;1748
366;St.Gallen;1733
367;Karpaty;1729
368;SturmGraz;1728
369;Košice;1721
370;Konyaspor;1718
371;AlbirexNiigata;1716
372;Wanderers;1711
373;ŚląskWrocław;1707
374;UniónEspañola;1702
375;ElJaish;1695
376;Libertad;1671
377;Dallas;1668
378;ShimizuS-Pulse;1666
379;Lovech;1655
380;VentforetKofu;1651
381;MaccabiHaifa;1645
382;Doxa;1643
383;DinamoBucureşti;1643
384;Kalloni;1642
385;KayseriErciyesspor;1639
386;ENPPI;1634
387;GoAheadEagles;1632
388;Heracles;1631
389;Senica;1630
390;WolfsbergerAC;1626
391;ESTunis;1626
392;Anzhi;1620
393;Atlante;1620
394;BidvestWits;1610
395;Guaraní;1606
396;Catania;1606
397;HapoelTelAviv;1605
398;AlJazira;1603
399;OrlandoPirates;1597
400;AIK;1592
401;MelbourneVictory;1590
402;NeaSalamis;1585
403;Strømsgodset;1585
404;InvernessCT;1575
405;DAC;1573
406;Lillestrøm;1571
407;Sivasspor;1570
408;BaníkOstrava;1566
409;Slovácko;1563
410;DeportivoCapiatá;1563
411;Sion;1562
412;Emelec;1560
413;VysočinaJihlava;1560
414;Waasland-Beveren;1559
415;Danubio;1555
416;Randers;1543
417;Gaziantepspor;1539
418;GuangzhouR&F;1539
419;Nordsjælland;1537
420;OlimpikDonetsk;1537
421;Grödig;1535
422;Platanias;1531
423;Junior;1528
424;Podbeskidzie;1527
425;Aarau;1526
426;ZbrojovkaBrno;1524
427;OmiyaArdija;1522
428;NewEngland;1519
429;Botoşani;1519
430;UniversitateaCluj;1517
431;Nürnberg;1515
432;RealSaltLake;1512
433;Palermo;1506
434;AlIttifaq;1499
435;Eskişehirspor;1499
436;Sarpsborg08;1494
437;Levadiakos;1484
438;VegaltaSendai;1482
439;QueensParkRangers;1474
440;Hoverla;1474
441;SuperSportUnited;1465
442;Stabæk;1461
443;Örebro;1459
444;Häcken;1459
445;RionegroÁguilas;1450
446;MordoviaSaransk;1436
447;Teplice;1436
448;SønderjyskE;1431
449;Helsingborg;1430
450;Moreirense;1425
451;JagielloniaBiałystok;1424
452;LevskiSofia;1419
453;EintrachtBraunschweig;1414
454;Ergotelis;1404
455;Mariupol';1402
456;Lens;1399
457;Voždovac;1392
458;AlSadd;1388
459;Tom'Tomsk;1384
460;OnceCaldas;1378
461;Panionios;1376
462;GhazlElMehalla;1376
463;NACBreda;1373
464;DeportesTolima;1370
465;Åtvidaberg;1364
466;SlaviaPraha;1362
467;RuchChorzów;1358
468;Motherwell;1357
469;Haugesund;1354
470;Lierse;1337
471;Příbram;1335
472;Qarabağ;1334
473;Djurgården;1333
474;Vålerenga;1333
475;VancouverWhitecaps;1329
476;NorwichCity;1319
477;Medellín;1318
478;Lekhwiya;1311
479;ColumbusCrew;1304
480;Burnley;1302
481;Aalesund;1301
482;DeportivoLaCoruña;1300
483;Fénix;1300
484;Viitorul;1300
485;Juventud;1300
486;Bunyodkor;1296
487;ShanghaiSIPG;1296
488;GeneralDíaz;1295
489;Banfield;1290
490;PhiladelphiaUnion;1282
491;Olhanense;1275
492;Xanthi;1273
493;Rijeka;1267
494;AmkarPerm';1267
495;SpartakMyjava;1263
496;Viking;1256
497;SJEarthquakes;1251
498;Millonarios;1249
499;PiastGliwice;1245
500;PiastGliwice;1245
501;CercleBrugge;1245
502;Braşov;1238
503;Kalmar;1238
504;Halmstad;1237
505;WisłaKraków;1235
506;Maribor;1229
507;Dukla;1228
508;MaritzburgUnited;1227
509;LechiaGdańsk;1222
510;DuklaPraha;1221
511;PogońSzczecin;1211
512;DinamoZagreb;1210
513;UCR;1207
514;ChernoMore;1205
515;ElEntagElHarby;1204
516;CapeTownCity;1200
517;BloemfonteinCeltic;1199
518;Olimpia;1195
519;Panthrakikos;1194
520;LokomotivPlovdiv;1194
521;Bohemians1905;1194
522;RadBeograd;1191
523;Ried;1188
524;AlHilalOmdurman;1176
525;NoviPazar;1174
526;OFKBeograd;1174
527;SudAmérica;1174
528;Rentistas;1173
529;Luzern;1164
530;Empoli;1162
531;PanduriiTârguJiu;1156
532;DinamoMinsk;1155
533;OB;1153
534;MaccabiPetahTikva;1147
535;İstanbulBaşakşehir;1146
536;Norrköping;1143
537;AlianzaPetrolera;1136
538;Cartaginés;1133
539;Gefle;1128
540;Kilmarnock;1125
541;Vestsjælland;1118
542;ZawiszaBydgoszcz;1118
543;Sepahan;1115
544;SpartakSubotica;1115
545;ZlatéMoravce;1115
546;AlAhli;1111
547;ElTanqueSisley;1111
548;Start;1110
549;Bodø/Glimt;1110
550;Admira;1103
551;Córdoba;1100
552;PartickThistle;1100
553;Ufa;1098
554;Metz;1097
555;Ashdod;1092
556;HJK;1087
557;PlatinumStars;1087
558;Penafiel;1086
559;GórnikZabrze;1081
560;Anorthosis;1081
561;ArgentinosJuniors;1080
562;Napredak;1079
563;Toronto;1072
564;NEC;1067
565;Envigado;1067
566;SportivoLuqueño;1066
567;ChicagoFire;1065
568;TârguMureş;1064
569;AjaxCapeTown;1063
570;Aris;1061
571;RheindorfAltach;1060
572;Kayserispor;1059
573;AlKhaleej;1058
574;AlNahdha;1057
575;TianjinTeda;1053
576;BeitarJerusalem;1051
577;Excelsior;1051
578;Elazığspor;1049
579;DonjiSrem;1048
580;Falkenberg;1047
581;AtléticoHuila;1046
582;HapoelHaifa;1045
583;Ružomberok;1044
584;CracoviaKraków;1039
585;Esteghlal;1038
586;CardiffCity;1037
587;AustriaWien;1036
588;CSUCraiova;1033
589;Brann;1032
590;Mersinİdmanyurdu;1029
591;RadničkiNiš;1028
592;MetalurhZaporizhya;1022
593;Bologna;1022
594;DefensayJusticia;1020
595;HoustonDynamo;1015
596;WienerNeustadt;1014
597;Carmelita;1005
598;Valenciennes;1005
599;KoronaKielce;1005
600;KoronaKielce;1005
601;Comunicaciones;1000
602;JiangsuSuning;999
603;BneiSakhnin;996
604;WillemII;994
605;Belén;986
606;Cerro;983
607;UniversityofPretoria;981
608;PatriotasBoyacá;978
